,tag_id,tag
0,1,metal
1,2,alternative metal
2,3,goth rock
3,4,black metal
4,5,death metal
5,6,industrial metal
6,7,gothic metal
8,9,electro-industrial
9,10,harsh ebm
12,13,chillout
13,14,ambient
14,15,downtempo
15,16,new wave
16,17,synth pop
17,18,electronic
18,19,80's
19,20,lounge
20,21,trip-hop
21,22,acid jazz
22,23,new age
23,24,pop
24,25,80s
25,26,atmospheric
26,27,ethereal
27,28,deutsch
29,30,german
31,32,avant-garde
32,33,experimental
33,34,minimal
36,37,groove
38,39,dance
41,42,synth-pop
43,44,glitch
45,46,melancholy
46,47,idm
48,49,female vocalist
55,56,melancholic
58,59,drone
60,61,industrial
61,62,trip hop
65,66,abstract
66,67,noise
68,69,dub
69,70,dubstep
70,71,hiphop
71,72,hard rock
72,73,rock
73,74,synthpop
74,75,psychedelic rock
75,76,progressive metal
77,78,alternative rock
78,79,alternative
79,80,glam rock
80,81,indie
81,82,doom metal
82,83,jazz
83,84,indie rock
84,85,funk
85,86,ebm
86,87,post-rock
87,88,psychedelic
88,89,symphonic metal
89,90,trance
90,91,thrash metal
91,92,dope
94,95,autumn
97,98,summer
101,102,hip-hop
102,103,rap
103,104,chill out
104,105,house
107,108,rock and roll
108,109,pop rock
119,120,world music
120,121,uk
121,122,old school
122,123,new york
123,124,pop dance
126,127,seen live
127,128,hit
129,130,female vocalists
130,131,girl groups
133,134,singer-songwriter
136,137,specials to 3mmey
138,139,j-rock
139,140,j-pop
140,141,visual kei
143,144,arabic
144,145,kpop
146,147,top
158,159,anime
159,160,noise rock
163,164,k-pop
166,167,rnb
168,169,pop punk
169,170,grunge
175,176,emo
176,177,nu metal
177,178,screamo
178,179,gothic
179,180,post-hardcore
180,181,punk
181,182,punk rock
182,183,christian rock
183,184,soundtrack
184,185,acoustic
185,186,emocore
186,187,electronica
187,188,polish
188,189,industrial rock
189,190,gothic rock
190,191,instrumental
191,192,classic rock
192,193,country
193,194,hardcore
194,195,british
195,196,polish rock
196,197,gangsta rap
197,198,rapcore
198,199,electropop
199,200,hot
200,201,guilty pleasures
201,202,electro pop
202,203,disco
205,206,<3
206,207,want to see live
207,208,diva
208,209,legend
209,210,00s
212,213,beautiful
215,216,american
225,226,california
226,227,comedy
227,228,catchy
228,229,epic
229,230,love it
230,231,ballad
231,232,addictive
232,233,dark
233,234,amazing
237,238,sexy
241,242,power pop
244,245,garage
246,247,60s
248,249,garage rock
250,251,swing
251,252,mod
252,253,rockabilly
258,259,psychobilly
260,261,punkabilly
264,265,ska
267,268,surf
274,275,post-punk
278,279,ska punk
282,283,raw
284,285,awesome
286,287,lovely
291,292,folk
295,296,indie pop
296,297,pop-rock
298,299,world
301,302,ethnic
303,304,hip hop
305,306,male vocalists
307,308,latin
308,309,electro
310,311,reggae
314,315,asian
317,318,traditional
318,319,spanish
320,321,french
326,327,progressive trance
329,330,death
336,343,crust
337,344,witch house
338,345,russian
339,346,female
340,347,gay
342,349,teen pop
344,351,europop
345,352,90s
347,354,fun
349,356,latin pop
351,358,queen of pop
353,360,australian
357,364,favorites
361,368,mexican
363,370,favorite
364,371,r and b
369,376,metalcore
371,378,deathcore
378,385,melodic death metal
379,386,heavy metal
380,387,progressive rock
382,389,britpop
384,391,shoegaze
386,393,dream pop
387,394,proto-punk
388,395,new romantic
389,396,electroclash
398,405,disney
399,406,brazil
401,408,female vocals
402,409,guitar virtuoso
407,414,melodic metal
408,415,nwobhm
415,422,male vocals
417,424,progressive
418,425,pastel
425,432,brazilian
435,442,sludge
438,445,blues rock
440,447,favourites
474,481,usa
476,483,party
486,493,glee
487,494,synth
492,499,melodic
493,500,brilliant
494,501,pet shop boys
496,503,live
498,505,80s pop
500,507,10s
501,508,love
502,509,dance-pop
504,511,english
505,512,romantic
506,513,nostalgic
507,514,depeche mode
512,519,eighties
517,524,great
519,526,piano
520,527,classic
521,528,folk rock
528,535,baroque
530,537,neofolk
534,541,japanese
536,543,stoner rock
538,545,classical
539,546,jazz fusion
540,547,fusion
543,550,black music 4 black ppl listened 2 by white hipsters
550,557,easy listening
557,564,psytrance
558,565,dark electro
560,567,rave
561,568,goa
562,569,germany
563,570,techno
567,574,dark ambient
568,575,darkwave
581,588,psychedelic trance
593,600,futurepop
594,601,swedish
597,604,norwegian
600,607,dutch
601,608,italian
604,611,canadian
605,612,deathrock
608,615,power metal
610,617,speed metal
612,619,groove metal
618,625,soul
619,626,drum and bass
621,628,wtf
625,632,rihanna
629,636,britney spears
632,639,queen
633,640,urban
634,641,top 40
635,642,guilty pleasure
651,658,lady gaga
654,661,ballads
655,662,perfect
657,664,christina aguilera
663,670,girl power
676,683,country pop
682,689,madonna
686,693,mpb
688,695,oldies
689,696,1970s
691,698,love song
693,700,60's
694,701,beyonce
695,702,smooth
699,706,2008
702,709,1982
705,712,gospel
706,713,best song ever
712,719,gossip girl
