,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
65027,"frozenset({"" 'Glee Cast'"", "" 'u-Ziq'""})","frozenset({"" 'The Temper Trap'"", "" 'Kelly Clarkson'""})",0.05350454788657036,0.05457463884430177,0.05350454788657036,1.0,18.323529411764703,0.050584556509133134,inf
65025,"frozenset({"" 'Kelly Clarkson'"", "" 'Glee Cast'""})","frozenset({"" 'The Temper Trap'"", "" 'u-Ziq'""})",0.05350454788657036,0.05564472980203317,0.05350454788657036,1.0,17.971153846153847,0.050527301776242206,inf
1372,"frozenset({"" 'Nicole Scherzinger'""})","frozenset({"" 'Camera Obscura'""})",0.05564472980203317,0.06206527554842162,0.05564472980203317,1.0,16.112068965517242,0.05219112431405252,inf
5876,"frozenset({"" 'Lady Gaga'"", "" 'Nicole Scherzinger'""})","frozenset({"" 'Camera Obscura'""})",0.05082932049224184,0.06206527554842162,0.05082932049224184,1.0,16.112068965517242,0.04767458470995182,inf
8497,"frozenset({"" 'Nicole Scherzinger'"", "" 'Rihanna'""})","frozenset({"" 'Camera Obscura'""})",0.05457463884430177,0.06206527554842162,0.05457463884430177,1.0,16.112068965517242,0.05118744884647459,inf
10140,"frozenset({"" 'Britney Spears'"", "" 'Nicole Scherzinger'""})","frozenset({"" 'Camera Obscura'""})",0.052434456928838954,0.06206527554842162,0.052434456928838954,1.0,16.112068965517242,0.04918009791131872,inf
31489,"frozenset({"" 'Lady Gaga'"", "" 'Nicole Scherzinger'"", "" 'Rihanna'""})","frozenset({"" 'Camera Obscura'""})",0.05029427501337614,0.06206527554842162,0.05029427501337614,1.0,16.112068965517242,0.04717274697616285,inf
46777,"frozenset({"" 'Britney Spears'"", "" 'Nicole Scherzinger'"", "" 'Rihanna'""})","frozenset({"" 'Camera Obscura'""})",0.051899411449973246,0.06206527554842162,0.051899411449973246,1.0,16.112068965517242,0.04867826017752975,inf
145868,"frozenset({"" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'"", "" 'Black Eyed Peas'""})",0.05564472980203317,0.06260032102728733,0.05564472980203317,1.0,15.974358974358973,0.052161351852949234,inf
145869,"frozenset({"" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'u-Ziq'""})","frozenset({"" 'Kelly Clarkson'"", "" 'Black Eyed Peas'""})",0.05564472980203317,0.06260032102728733,0.05564472980203317,1.0,15.974358974358973,0.052161351852949234,inf
211178,"frozenset({"" 'Mr. Mister'"", "" 'Beyonce'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'"", "" 'Black Eyed Peas'""})",0.05403959336543606,0.06260032102728733,0.05403959336543606,1.0,15.974358974358973,0.050656697472575694,inf
211179,"frozenset({"" 'Mr. Mister'"", "" 'Beyonce'"", "" 'u-Ziq'""})","frozenset({"" 'Kelly Clarkson'"", "" 'Black Eyed Peas'""})",0.05403959336543606,0.06260032102728733,0.05403959336543606,1.0,15.974358974358973,0.050656697472575694,inf
307479,"frozenset({"" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'Rihanna'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'"", "" 'Black Eyed Peas'""})",0.05350454788657036,0.06260032102728733,0.05350454788657036,1.0,15.974358974358973,0.050155146012451184,inf
307480,"frozenset({"" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'u-Ziq'"", "" 'Rihanna'""})","frozenset({"" 'Kelly Clarkson'"", "" 'Black Eyed Peas'""})",0.05350454788657036,0.06260032102728733,0.05350454788657036,1.0,15.974358974358973,0.050155146012451184,inf
328619,"frozenset({"" 'Britney Spears'"", "" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'"", "" 'Black Eyed Peas'""})",0.05350454788657036,0.06260032102728733,0.05350454788657036,1.0,15.974358974358973,0.050155146012451184,inf
328620,"frozenset({"" 'Britney Spears'"", "" 'Lady Gaga'"", "" 'Mr. Mister'"", "" 'u-Ziq'""})","frozenset({"" 'Kelly Clarkson'"", "" 'Black Eyed Peas'""})",0.05350454788657036,0.06260032102728733,0.05350454788657036,1.0,15.974358974358973,0.050155146012451184,inf
365511,"frozenset({"" 'Britney Spears'"", "" 'Mr. Mister'"", "" 'Rihanna'"", "" 'Kelly Clarkson'""})","frozenset({"" 'u-Ziq'"", "" 'Black Eyed Peas'""})",0.057249866238630286,0.06260032102728733,0.057249866238630286,1.0,15.974358974358973,0.05366600623332277,inf
